Year,Ceremony,Award,Winner,Name,Film
1977,50,Documentary (Feature),,Homage to Chagall--The Colours of Love ,"Harry Rasky, Producer"
1977,50,Documentary (Feature),,Union Maids ,"James Klein, Julia Reichert and Miles Mogulescu, Producers"
1977,50,Documentary (Feature),1,Who Are the DeBolts? And Where Did They Get Nineteen Kids? ,"John Korty, Dan McCann and Warren L. Lockhart, Producers"
1977,50,Documentary (Short Subject),,"Agueda Martinez: Our People, Our Country ","Moctesuma Esparza, Producer"
1977,50,Documentary (Short Subject),,First Edition ,"Helen Whitney and DeWitt L. Sage, Jr., Producers"
1977,50,Documentary (Short Subject),1,Gravity Is My Enemy ,"John Joseph and Jan Stussy, Producers"
1977,50,Documentary (Short Subject),,"Of Time, Tombs and Treasure ","James R. Messenger and Paul N. Raimondi, Producers"
1977,50,Documentary (Short Subject),,The Shetland Experience ,"Douglas Gordon, Producer"
1977,50,Film Editing,,Close Encounters of the Third Kind ,Michael Kahn
1977,50,Film Editing,,Julia ,Walter Murch
1977,50,Film Editing,,Smokey and the Bandit ,"Walter Hannemann, Angelo Ross"
1977,50,Film Editing,1,Star Wars ,"Paul Hirsch, Marcia Lucas, Richard Chew"
1977,50,Film Editing,,The Turning Point ,William Reynolds
1977,50,Foreign Language Film,,Iphigenia ,Greece
1977,50,Foreign Language Film,1,Madame Rosa ,France
1977,50,Foreign Language Film,,Operation Thunderbolt ,Israel
1977,50,Foreign Language Film,,A Special Day ,Italy
1977,50,Foreign Language Film,,That Obscure Object of Desire ,Spain
1977,50,Music (Original Score),,Close Encounters of the Third Kind ,John Williams
1977,50,Music (Original Score),,Julia ,Georges Delerue
1977,50,Music (Original Score),,Mohammad - Messenger of God ,Maurice Jarre
1977,50,Music (Original Score),,The Spy Who Loved Me ,Marvin Hamlisch
1977,50,Music (Original Score),1,Star Wars ,John Williams
1977,50,Music (Original Song Score and Its Adaptation or Adaptation Score),1,A Little Night Music ,Adaptation Score by Jonathan Tunick
1977,50,Music (Original Song Score and Its Adaptation or Adaptation Score),,Pete's Dragon ,Song Score by Al Kasha and Joel Hirschhorn; Adaptation Score by Irwin Kostal
1977,50,Music (Original Song Score and Its Adaptation or Adaptation Score),,The Slipper and the Rose--The Story of Cinderella ,Song Score by Richard M. Sherman and Robert B. Sherman; Adaptation Score by Angela Morley
1977,50,Music (Original Song),,"""Candle On The Water"" from Pete's Dragon",Music and Lyrics by Al Kasha and Joel Hirschhorn
1977,50,Music (Original Song),,"""Nobody Does It Better"" from The Spy Who Loved Me",Music by Marvin Hamlisch; Lyrics by Carole Bayer Sager
1977,50,Music (Original Song),,"""The Slipper And The Rose Waltz (He Danced With Me/She Danced With Me)"" from The Slipper and the Rose--The Story of Cinderella",Music and Lyrics by Richard M. Sherman and Robert B. Sherman
1977,50,Music (Original Song),,"""Someone's Waiting For You"" from The Rescuers",Music by Sammy Fain; Lyrics by Carol Connors and Ayn Robbins
1977,50,Music (Original Song),1,"""You Light Up My Life"" from You Light Up My Life",Music and Lyrics by Joseph Brooks
1977,50,Best Picture,1,Annie Hall ,"Charles H. Joffe, Producer"
1977,50,Best Picture,,The Goodbye Girl ,"Ray Stark, Producer"
1977,50,Best Picture,,Julia ,"Richard Roth, Producer"
1977,50,Best Picture,,Star Wars ,"Gary Kurtz, Producer"
1977,50,Best Picture,,The Turning Point ,"Herbert Ross and Arthur Laurents, Producers"
1977,50,Short Film (Animated),,The Bead Game ,"Ishu Patel, Producer"
1977,50,Short Film (Animated),,The Doonesbury Special ,"John Hubley, Faith Hubley and Garry Trudeau, Producers"
1977,50,Short Film (Animated),,Jimmy the C ,"James Picker, Robert Grossman and Craig Whitaker, Producers"
1977,50,Short Film (Animated),1,The Sand Castle ,"Co Hoedeman, Producer"
1977,50,Short Film (Live Action),,The Absent-Minded Waiter ,"William E. McEuen, Producer"
1977,50,Short Film (Live Action),,Floating Free ,"Jerry Butts, Producer"
1977,50,Short Film (Live Action),1,I'll Find a Way ,"Beverly Shaffer and Yuki Yoshida, Producers"
1977,50,Short Film (Live Action),,Notes on the Popular Arts ,"Saul Bass, Producer"
1977,50,Short Film (Live Action),,Spaceborne ,"Philip Dauber, Producer"
1977,50,Sound,,Close Encounters of the Third Kind ,"Robert Knudson, Robert J. Glass, Don MacDougall, Gene S. Cantamessa"
1977,50,Sound,,The Deep ,"Walter Goss, Dick Alexander, Tom Beckert, Robin Gregory"
1977,50,Sound,,Sorcerer ,"Robert Knudson, Robert J. Glass, Richard Tyler, Jean-Louis Ducarme"
1977,50,Sound,1,Star Wars ,"Don MacDougall, Ray West, Bob Minkler, Derek Ball"
1977,50,Sound,,The Turning Point ,"Theodore Soderberg, Paul Wells, Douglas O. Williams, Jerry Jost"
1977,50,Visual Effects,,Close Encounters of the Third Kind ,"Roy Arbogast, Douglas Trumbull, Matthew Yuricich, Gregory Jein, Richard Yuricich"
1977,50,Visual Effects,1,Star Wars ,"John Stears, John Dykstra, Richard Edlund, Grant McCune, Robert Blalack"
1977,50,"Writing (Screenplay, Based on Material from Another Medium)",,Equus ,Peter Shaffer
1977,50,"Writing (Screenplay, Based on Material from Another Medium)",,I Never Promised You a Rose Garden ,"Gavin Lambert, Lewis John Carlino"
1977,50,"Writing (Screenplay, Based on Material from Another Medium)",1,Julia ,Alvin Sargent
1977,50,"Writing (Screenplay, Based on Material from Another Medium)",,"Oh, God! ",Larry Gelbart
1977,50,"Writing (Screenplay, Based on Material from Another Medium)",,That Obscure Object of Desire ,"Luis Buñuel, Jean-Claude Carrière"
1977,50,"Writing (Screenplay Written Directly for the Screen, Based on Factual Material or on Story Material Not Previously Published or Produced)",1,Annie Hall ,"Woody Allen, Marshall Brickman"
1977,50,"Writing (Screenplay Written Directly for the Screen, Based on Factual Material or on Story Material Not Previously Published or Produced)",,The Goodbye Girl ,Neil Simon
1977,50,"Writing (Screenplay Written Directly for the Screen, Based on Factual Material or on Story Material Not Previously Published or Produced)",,The Late Show ,Robert Benton
1977,50,"Writing (Screenplay Written Directly for the Screen, Based on Factual Material or on Story Material Not Previously Published or Produced)",,Star Wars ,George Lucas
1977,50,"Writing (Screenplay Written Directly for the Screen, Based on Factual Material or on Story Material Not Previously Published or Produced)",,The Turning Point ,Arthur Laurents
1977,50,Special Achievement Award,1,"Benjamin Burtt, Jr.",Star Wars
1977,50,Special Achievement Award (Sound Effects Editing),1,Close Encounters of the Third Kind ,Frank E. Warner
1977,50,Jean Hersholt Humanitarian Award,1,Charlton Heston,
1977,50,Honorary Award,1,Margaret Booth,
1977,50,Irving G. Thalberg Memorial Award,1,Walter Mirisch,
1977,50,Medal of Commendation,1,Gordon E. Sawyer,
1977,50,Medal of Commendation,1,Sidney Paul Solow,
1978,51,Actor in a Leading Role,,Warren Beatty,Heaven Can Wait
1978,51,Actor in a Leading Role,,Gary Busey,The Buddy Holly Story
1978,51,Actor in a Leading Role,,Robert De Niro,The Deer Hunter
1978,51,Actor in a Leading Role,,Laurence Olivier,The Boys from Brazil
1978,51,Actor in a Leading Role,1,Jon Voight,Coming Home
1978,51,Actor in a Supporting Role,,Bruce Dern,Coming Home
1978,51,Actor in a Supporting Role,,Richard Farnsworth,Comes a Horseman
1978,51,Actor in a Supporting Role,,John Hurt,Midnight Express
1978,51,Actor in a Supporting Role,1,Christopher Walken,The Deer Hunter
1978,51,Actor in a Supporting Role,,Jack Warden,Heaven Can Wait
1978,51,Actress in a Leading Role,,Ingrid Bergman,Autumn Sonata
1978,51,Actress in a Leading Role,,Ellen Burstyn,"Same Time, Next Year"
1978,51,Actress in a Leading Role,,Jill Clayburgh,An Unmarried Woman
1978,51,Actress in a Leading Role,1,Jane Fonda,Coming Home
1978,51,Actress in a Leading Role,,Geraldine Page,Interiors
1978,51,Actress in a Supporting Role,,Dyan Cannon,Heaven Can Wait
1978,51,Actress in a Supporting Role,,Penelope Milford,Coming Home
1978,51,Actress in a Supporting Role,1,Maggie Smith,California Suite
1978,51,Actress in a Supporting Role,,Maureen Stapleton,Interiors
1978,51,Actress in a Supporting Role,,Meryl Streep,The Deer Hunter
1978,51,Art Direction,,The Brink's Job ,"Art Direction: Dean Tavoularis, Angelo Graham; Set Decoration: George R. Nelson, Bruce Kay"
1978,51,Art Direction,,California Suite ,Art Direction: Albert Brenner; Set Decoration: Marvin March
1978,51,Art Direction,1,Heaven Can Wait ,"Art Direction: Paul Sylbert, Edwin O'Donovan; Set Decoration: George Gaines"
1978,51,Art Direction,,Interiors ,Art Direction: Mel Bourne; Set Decoration: Daniel Robert
1978,51,Art Direction,,The Wiz ,"Art Direction: Tony Walton, Philip Rosenberg; Set Decoration: Edward Stewart, Robert Drumheller"
1978,51,Cinematography,1,Days of Heaven ,Nestor Almendros
1978,51,Cinematography,,The Deer Hunter ,Vilmos Zsigmond
1978,51,Cinematography,,Heaven Can Wait ,William A. Fraker
1978,51,Cinematography,,"Same Time, Next Year ",Robert Surtees
1978,51,Cinematography,,The Wiz ,Oswald Morris
1978,51,Costume Design,,Caravans ,Renie Conley
1978,51,Costume Design,,Days of Heaven ,Patricia Norris
1978,51,Costume Design,1,Death on the Nile ,Anthony Powell
1978,51,Costume Design,,The Swarm ,Paul Zastupnevich
1978,51,Costume Design,,The Wiz ,Tony Walton
1978,51,Directing,,Coming Home ,Hal Ashby
1978,51,Directing,1,The Deer Hunter ,Michael Cimino
1978,51,Directing,,Heaven Can Wait ,"Warren Beatty, Buck Henry"
1978,51,Directing,,Interiors ,Woody Allen
1978,51,Directing,,Midnight Express ,Alan Parker
1978,51,Documentary (Feature),,The Lovers' Wind ,"Albert Lamorisse, Producer"
1978,51,Documentary (Feature),,Mysterious Castles of Clay ,"Alan Root, Producer"
1978,51,Documentary (Feature),,Raoni ,"Jean-Pierre Dutilleux, Barry Williams and Michel Gast, Producers"
1978,51,Documentary (Feature),1,Scared Straight! ,"Arnold Shapiro, Producer"
1978,51,Documentary (Feature),,With Babies and Banners: Story of the Women's Emergency Brigade ,"Anne Bohlen, Lyn Goldfarb and Lorraine Gray, Producers"
1978,51,Documentary (Short Subject),,The Divided Trail: A Native American Odyssey ,"Jerry Aronson, Producer"
1978,51,Documentary (Short Subject),,An Encounter with Faces ,"K.K. Kapil, Producer"
1978,51,Documentary (Short Subject),1,The Flight of the Gossamer Condor ,"Jacqueline Phillips Shedd and Ben Shedd, Producers"
1978,51,Documentary (Short Subject),,Goodnight Miss Ann ,"August Cinquegrana, Producer"
1978,51,Documentary (Short Subject),,Squires of San Quentin ,"J. Gary Mitchell, Producer"
1978,51,Film Editing,,The Boys from Brazil ,Robert E. Swink
1978,51,Film Editing,,Coming Home ,Don Zimmerman
1978,51,Film Editing,1,The Deer Hunter ,Peter Zinner
1978,51,Film Editing,,Midnight Express ,Gerry Hambling
1978,51,Film Editing,,Superman ,Stuart Baird
1978,51,Foreign Language Film,1,Get Out Your Handkerchiefs ,France
1978,51,Foreign Language Film,,The Glass Cell ,German Federal Republic
1978,51,Foreign Language Film,,Hungarians ,Hungary
1978,51,Foreign Language Film,,Viva Italia! ,Italy
1978,51,Foreign Language Film,,White Bim Black Ear ,Union of Soviet Socialist Republics
1978,51,Music (Adaptation Score),1,The Buddy Holly Story ,Joe Renzetti
1978,51,Music (Adaptation Score),,Pretty Baby ,Jerry Wexler
1978,51,Music (Adaptation Score),,The Wiz ,Quincy Jones
1978,51,Music (Original Score),,The Boys from Brazil ,Jerry Goldsmith
1978,51,Music (Original Score),,Days of Heaven ,Ennio Morricone
1978,51,Music (Original Score),,Heaven Can Wait ,Dave Grusin
1978,51,Music (Original Score),1,Midnight Express ,Giorgio Moroder
1978,51,Music (Original Score),,Superman ,John Williams
1978,51,Music (Original Song),,"""Hopelessly Devoted To You"" from Grease",Music and Lyrics by John Farrar
1978,51,Music (Original Song),1,"""Last Dance"" from Thank God It's Friday",Music and Lyrics by Paul Jabara
1978,51,Music (Original Song),,"""The Last Time I Felt Like This"" from Same Time, Next Year",Music by Marvin Hamlisch; Lyrics by Alan Bergman and Marilyn Bergman
1978,51,Music (Original Song),,"""Ready To Take A Chance Again"" from Foul Play",Music by Charles Fox; Lyrics by Norman Gimbel
1978,51,Music (Original Song),,"""When You're Loved"" from The Magic of Lassie",Music and Lyrics by Richard M. Sherman and Robert B. Sherman
1978,51,Best Picture,,Coming Home ,"Jerome Hellman, Producer"
1978,51,Best Picture,1,The Deer Hunter ,"Barry Spikings, Michael Deeley, Michael Cimino and John Peverall, Producers"
1978,51,Best Picture,,Heaven Can Wait ,"Warren Beatty, Producer"
1978,51,Best Picture,,Midnight Express ,"Alan Marshall and David Puttnam, Producers"
1978,51,Best Picture,,An Unmarried Woman ,"Paul Mazursky and Tony Ray, Producers"
1978,51,Short Film (Animated),,Oh My Darling ,"Nico Crama, Producer"
1978,51,Short Film (Animated),,Rip Van Winkle ,"Will Vinton, Producer"
1978,51,Short Film (Animated),1,Special Delivery ,"Eunice Macaulay and John Weldon, Producers"
1978,51,Short Film (Live Action),,A Different Approach ,"Jim Belcher and Fern Field, Producers"
1978,51,Short Film (Live Action),,Mandy's Grandmother ,"Andrew Sugerman, Producer"
1978,51,Short Film (Live Action),,Strange Fruit ,"Seth Pinsker, Producer"
1978,51,Short Film (Live Action),1,Teenage Father ,"Taylor Hackford, Producer"
1978,51,Sound,,The Buddy Holly Story ,"Tex Rudloff, Joel Fein, Curly Thirlwell, Willie Burton"
1978,51,Sound,,Days of Heaven ,"John K. Wilkinson, Robert W. Glass, Jr., John T. Reitz, Barry Thomas"
1978,51,Sound,1,The Deer Hunter ,"Richard Portman, William McCaughey, Aaron Rochin, Darin Knight"
1978,51,Sound,,Hooper ,"Robert Knudson, Robert J. Glass, Don MacDougall, Jack Solomon"
1978,51,Sound,,Superman ,"Gordon K. McCallum, Graham Hartstone, Nicolas Le Messurier, Roy Charman"
1978,51,Writing (Screenplay Based on Material from Another Medium),,Bloodbrothers ,Walter Newman
1978,51,Writing (Screenplay Based on Material from Another Medium),,California Suite ,Neil Simon
1978,51,Writing (Screenplay Based on Material from Another Medium),,Heaven Can Wait ,"Elaine May, Warren Beatty"
1978,51,Writing (Screenplay Based on Material from Another Medium),1,Midnight Express ,Oliver Stone
1978,51,Writing (Screenplay Based on Material from Another Medium),,"Same Time, Next Year ",Bernard Slade
1978,51,Writing (Screenplay Written Directly for the Screen),,Autumn Sonata ,Ingmar Bergman
1978,51,Writing (Screenplay Written Directly for the Screen),1,Coming Home ,"Story by Nancy Dowd; Screenplay by Waldo Salt, Robert C. Jones"
1978,51,Writing (Screenplay Written Directly for the Screen),,The Deer Hunter ,"Story by Michael Cimino, Deric Washburn, Louis Garfinkle, Quinn K. Redeker; Screenplay by Deric Washburn"
1978,51,Writing (Screenplay Written Directly for the Screen),,Interiors ,Woody Allen
1978,51,Writing (Screenplay Written Directly for the Screen),,An Unmarried Woman ,Paul Mazursky
1978,51,Special Achievement Award (Visual Effects),1,Superman ,"Les Bowie, Colin Chilvers, Denys Coop, Roy Field, Derek Meddings, Zoran Perisic"
1978,51,Jean Hersholt Humanitarian Award,1,Leo Jaffe,
1978,51,Honorary Award,1,Walter Lantz,
1978,51,Honorary Award,1,The Museum of Modern Art Department of Film,
1978,51,Honorary Award,1,Laurence Olivier,
1978,51,Honorary Award,1,King Vidor,
1978,51,Medal of Commendation,1,Linwood G. Dunn,
1978,51,Medal of Commendation,1,Loren L. Ryder,
1978,51,Medal of Commendation,1,Waldon O. Watson,
1979,52,Actor in a Leading Role,1,Dustin Hoffman,Kramer vs. Kramer
1979,52,Actor in a Leading Role,,Jack Lemmon,The China Syndrome
1979,52,Actor in a Leading Role,,Al Pacino,...And Justice for All
1979,52,Actor in a Leading Role,,Roy Scheider,All That Jazz
1979,52,Actor in a Leading Role,,Peter Sellers,Being There
1979,52,Actor in a Supporting Role,1,Melvyn Douglas,Being There
1979,52,Actor in a Supporting Role,,Robert Duvall,Apocalypse Now
1979,52,Actor in a Supporting Role,,Frederic Forrest,The Rose
1979,52,Actor in a Supporting Role,,Justin Henry,Kramer vs. Kramer
1979,52,Actor in a Supporting Role,,Mickey Rooney,The Black Stallion
1979,52,Actress in a Leading Role,,Jill Clayburgh,Starting Over
1979,52,Actress in a Leading Role,1,Sally Field,Norma Rae
1979,52,Actress in a Leading Role,,Jane Fonda,The China Syndrome
1979,52,Actress in a Leading Role,,Marsha Mason,Chapter Two
1979,52,Actress in a Leading Role,,Bette Midler,The Rose
1979,52,Actress in a Supporting Role,,Jane Alexander,Kramer vs. Kramer
1979,52,Actress in a Supporting Role,,Barbara Barrie,Breaking Away
1979,52,Actress in a Supporting Role,,Candice Bergen,Starting Over
1979,52,Actress in a Supporting Role,,Mariel Hemingway,Manhattan
1979,52,Actress in a Supporting Role,1,Meryl Streep,Kramer vs. Kramer
1979,52,Art Direction,,Alien ,"Art Direction: Michael Seymour, Les Dilley, Roger Christian; Set Decoration: Ian Whittaker"
1979,52,Art Direction,1,All That Jazz ,"Art Direction: Philip Rosenberg, Tony Walton; Set Decoration: Edward Stewart, Gary Brink"
1979,52,Art Direction,,Apocalypse Now ,"Art Direction: Dean Tavoularis, Angelo Graham; Set Decoration: George R. Nelson"
1979,52,Art Direction,,The China Syndrome ,Art Direction: George Jenkins; Set Decoration: Arthur Jeph Parker
1979,52,Art Direction,,Star Trek - The Motion Picture ,"Art Direction: Harold Michelson, Joe Jennings, Leon Harris, John Vallone; Set Decoration: Linda DeScenna"
1979,52,Cinematography,,All That Jazz ,Giuseppe Rotunno
1979,52,Cinematography,1,Apocalypse Now ,Vittorio Storaro
1979,52,Cinematography,,The Black Hole ,Frank Phillips
1979,52,Cinematography,,Kramer vs. Kramer ,Nestor Almendros
1979,52,Cinematography,,1941,William A. Fraker
1979,52,Costume Design,,Agatha ,Shirley Russell
1979,52,Costume Design,1,All That Jazz ,Albert Wolsky
1979,52,Costume Design,,Butch and Sundance: The Early Days ,William Ware Theiss
1979,52,Costume Design,,The Europeans ,Judy Moorcroft
1979,52,Costume Design,,La Cage aux Folles ,"Piero Tosi, Ambra Danon"
1979,52,Directing,,All That Jazz ,Bob Fosse
1979,52,Directing,,Apocalypse Now ,Francis Coppola
1979,52,Directing,,Breaking Away ,Peter Yates
1979,52,Directing,1,Kramer vs. Kramer ,Robert Benton
1979,52,Directing,,La Cage aux Folles ,Edouard Molinaro
1979,52,Documentary (Feature),1,Best Boy ,"Ira Wohl, Producer"
1979,52,Documentary (Feature),,Generation on the Wind ,"David A. Vassar, Producer"
1979,52,Documentary (Feature),,Going the Distance ,"Paul Cowan and Jacques Bobet, Producers"
1979,52,Documentary (Feature),,The Killing Ground ,"Steve Singer and Tom Priestley, Producers"
1979,52,Documentary (Feature),,The War at Home ,"Glenn Silber and Barry Alexander Brown, Producers"
1979,52,Documentary (Short Subject),,Dae ,"Risto Teofilovski, Producer"
1979,52,Documentary (Short Subject),,Koryo Celadon ,"Donald A. Connolly and James R. Messenger, Producers"
1979,52,Documentary (Short Subject),,Nails ,"Phillip Borsos, Producer"
1979,52,Documentary (Short Subject),1,Paul Robeson: Tribute to an Artist ,"Saul J. Turell, Producer"
1979,52,Documentary (Short Subject),,Remember Me ,"Dick Young, Producer"
1979,52,Film Editing,1,All That Jazz ,Alan Heim
1979,52,Film Editing,,Apocalypse Now ,"Richard Marks, Walter Murch, Gerald B. Greenberg, Lisa Fruchtman"
1979,52,Film Editing,,The Black Stallion ,Robert Dalva
1979,52,Film Editing,,Kramer vs. Kramer ,Jerry Greenberg
1979,52,Film Editing,,The Rose ,"Robert L. Wolfe, C. Timothy O'Meara"
1979,52,Foreign Language Film,,The Maids of Wilko ,Poland
1979,52,Foreign Language Film,,Mama Turns a Hundred ,Spain
1979,52,Foreign Language Film,,A Simple Story ,France
1979,52,Foreign Language Film,1,The Tin Drum ,Federal Republic of Germany
1979,52,Foreign Language Film,,To Forget Venice ,Italy
1979,52,Music (Original Score),,The Amityville Horror ,Lalo Schifrin
1979,52,Music (Original Score),,The Champ ,Dave Grusin
1979,52,Music (Original Score),1,A Little Romance ,Georges Delerue
1979,52,Music (Original Score),,Star Trek - The Motion Picture ,Jerry Goldsmith
1979,52,Music (Original Score),,10,Henry Mancini
1979,52,Music (Original Song Score and Its Adaptation -Or- Adaptation Score),1,All That Jazz ,Adaptation Score by Ralph Burns
1979,52,Music (Original Song Score and Its Adaptation -Or- Adaptation Score),,Breaking Away ,Adaptation Score by Patrick Williams
1979,52,Music (Original Song Score and Its Adaptation -Or- Adaptation Score),,The Muppet Movie ,Song Score by Paul Williams and Kenny Ascher; Adaptation Score by Paul Williams
1979,52,Music (Original Song),,"""I'll Never Say 'Goodbye'"" from The Promise",Music by David Shire; Lyric by Alan Bergman and Marilyn Bergman
1979,52,Music (Original Song),1,"""It Goes Like It Goes"" from Norma Rae",Music by David Shire; Lyric by Norman Gimbel
1979,52,Music (Original Song),,"""It's Easy To Say"" from 10",Music by Henry Mancini; Lyric by Robert Wells
1979,52,Music (Original Song),,"""The Rainbow Connection"" from The Muppet Movie",Music and Lyric by Paul Williams and Kenny Ascher
1979,52,Music (Original Song),,"""Through The Eyes Of Love"" from Ice Castles",Music by Marvin Hamlisch; Lyric by Carole Bayer Sager
1979,52,Best Picture,,All That Jazz ,"Robert Alan Aurthur, Producer"
1979,52,Best Picture,,Apocalypse Now ,"Francis Coppola, Producer; Fred Roos, Gray Frederickson and Tom Sternberg, Co-Producers"
1979,52,Best Picture,,Breaking Away ,"Peter Yates, Producer"
1979,52,Best Picture,1,Kramer vs. Kramer ,"Stanley R. Jaffe, Producer"
1979,52,Best Picture,,Norma Rae ,"Tamara Asseyev and Alex Rose, Producers"
1979,52,Short Film (Animated),,Dream Doll ,"Bob Godfrey and Zlatko Grgic, Producers"
1979,52,Short Film (Animated),1,Every Child ,"Derek Lamb, Producer"
1979,52,Short Film (Animated),,It's So Nice to Have a Wolf around the House ,"Paul Fierlinger, Producer"
1979,52,Short Film (Live Action),1,Board and Care ,"Sarah Pillsbury and Ron Ellis, Producers"
1979,52,Short Film (Live Action),,Bravery in the Field ,"Roman Kroitor and Stefan Wodoslawsky, Producers"
1979,52,Short Film (Live Action),,"Oh Brother, My Brother ","Carol Lowell and Ross Lowell, Producers"
1979,52,Short Film (Live Action),,The Solar Film ,"Saul Bass and Michael Britton, Producers"
1979,52,Short Film (Live Action),,Solly's Diner ,"Harry Mathias, Jay Zukerman and Larry Hankin, Producers"
1979,52,Sound,1,Apocalypse Now ,"Walter Murch, Mark Berger, Richard Beggs, Nat Boxer"
1979,52,Sound,,The Electric Horseman ,"Arthur Piantadosi, Les Fresholtz, Michael Minkler, Al Overton"
1979,52,Sound,,Meteor ,"William McCaughey, Aaron Rochin, Michael J. Kohut, Jack Solomon"
1979,52,Sound,,1941,"Robert Knudson, Robert J. Glass, Don MacDougall, Gene S. Cantamessa"
1979,52,Sound,,The Rose ,"Theodore Soderberg, Douglas Williams, Paul Wells, Jim Webb"
1979,52,Visual Effects,1,Alien ,"H.R. Giger, Carlo Rambaldi, Brian Johnson, Nick Allder, Denys Ayling"
1979,52,Visual Effects,,The Black Hole ,"Peter Ellenshaw, Art Cruickshank, Eustace Lycett, Danny Lee, Harrison Ellenshaw, Joe Hale"
1979,52,Visual Effects,,Moonraker ,"Derek Meddings, Paul Wilson, John Evans"
1979,52,Visual Effects,,1941,"William A. Fraker, A. D. Flowers, Gregory Jein"
1979,52,Visual Effects,,Star Trek - The Motion Picture ,"Douglas Trumbull, John Dykstra, Richard Yuricich, Robert Swarthe, Dave Stewart, Grant McCune"
1979,52,Writing (Screenplay Based on Material from Another Medium),,Apocalypse Now ,"John Milius, Francis Coppola"
1979,52,Writing (Screenplay Based on Material from Another Medium),1,Kramer vs. Kramer ,Robert Benton
1979,52,Writing (Screenplay Based on Material from Another Medium),,La Cage aux Folles ,"Francis Veber, Edouard Molinaro, Marcello Danon, Jean Poiret"
1979,52,Writing (Screenplay Based on Material from Another Medium),,A Little Romance ,Allan Burns
1979,52,Writing (Screenplay Based on Material from Another Medium),,Norma Rae ,"Irving Ravetch, Harriet Frank, Jr."
1979,52,Writing (Screenplay Written Directly for the Screen),,All That Jazz ,"Robert Alan Aurthur, Bob Fosse"
1979,52,Writing (Screenplay Written Directly for the Screen),,...And Justice for All ,"Valerie Curtin, Barry Levinson"
1979,52,Writing (Screenplay Written Directly for the Screen),1,Breaking Away ,Steve Tesich
1979,52,Writing (Screenplay Written Directly for the Screen),,The China Syndrome ,"Mike Gray, T.S. Cook, James Bridges"
1979,52,Writing (Screenplay Written Directly for the Screen),,Manhattan ,"Woody Allen, Marshall Brickman"
1979,52,Special Achievement Award (Sound Editing),1,The Black Stallion ,Alan Splet
1979,52,Jean Hersholt Humanitarian Award,1,Robert Benjamin,
1979,52,Honorary Award,1,Alec Guinness,
1979,52,Honorary Award,1,Hal Elias,
1979,52,Irving G. Thalberg Memorial Award,1,Ray Stark,
1979,52,Medal of Commendation,1,John O. Aalberg,
1979,52,Medal of Commendation,1,Charles G. Clarke,
1979,52,Medal of Commendation,1,John G. Frayne,
1980,53,Actor in a Leading Role,1,Robert De Niro,Raging Bull
1980,53,Actor in a Leading Role,,Robert Duvall,The Great Santini
1980,53,Actor in a Leading Role,,John Hurt,The Elephant Man
1980,53,Actor in a Leading Role,,Jack Lemmon,Tribute
1980,53,Actor in a Leading Role,,Peter O'Toole,The Stunt Man
1980,53,Actor in a Supporting Role,,Judd Hirsch,Ordinary People
1980,53,Actor in a Supporting Role,1,Timothy Hutton,Ordinary People
1980,53,Actor in a Supporting Role,,Michael O'Keefe,The Great Santini
1980,53,Actor in a Supporting Role,,Joe Pesci,Raging Bull
1980,53,Actor in a Supporting Role,,Jason Robards,Melvin and Howard
1980,53,Actress in a Leading Role,,Ellen Burstyn,Resurrection
1980,53,Actress in a Leading Role,,Goldie Hawn,Private Benjamin
1980,53,Actress in a Leading Role,,Mary Tyler Moore,Ordinary People
1980,53,Actress in a Leading Role,,Gena Rowlands,Gloria
1980,53,Actress in a Leading Role,1,Sissy Spacek,Coal Miner's Daughter
1980,53,Actress in a Supporting Role,,Eileen Brennan,Private Benjamin
1980,53,Actress in a Supporting Role,,Eva Le Gallienne,Resurrection
1980,53,Actress in a Supporting Role,,Cathy Moriarty,Raging Bull
1980,53,Actress in a Supporting Role,,Diana Scarwid,Inside Moves
1980,53,Actress in a Supporting Role,1,Mary Steenburgen,Melvin and Howard
1980,53,Art Direction,,Coal Miner's Daughter ,Art Direction: John W. Corso; Set Decoration: John M. Dwyer
1980,53,Art Direction,,The Elephant Man ,"Art Direction: Stuart Craig, Bob Cartwright; Set Decoration: Hugh Scaife"
1980,53,Art Direction,,The Empire Strikes Back ,"Art Direction: Norman Reynolds, Leslie Dilley, Harry Lange, Alan Tomkins; Set Decoration: Michael Ford"
1980,53,Art Direction,,Kagemusha (The Shadow Warrior) ,Yoshiro Muraki
1980,53,Art Direction,1,Tess ,"Art Direction: Pierre Guffroy, Jack Stephens"
1980,53,Cinematography,,The Blue Lagoon ,Nestor Almendros
1980,53,Cinematography,,Coal Miner's Daughter ,Ralf D. Bode
1980,53,Cinematography,,The Formula ,James Crabe
1980,53,Cinematography,,Raging Bull ,Michael Chapman
1980,53,Cinematography,1,Tess ,"Geoffrey Unsworth, Ghislain Cloquet"
1980,53,Costume Design,,The Elephant Man ,Patricia Norris
1980,53,Costume Design,,My Brilliant Career ,Anna Senior
1980,53,Costume Design,,Somewhere in Time ,Jean-Pierre Dorleac
1980,53,Costume Design,1,Tess ,Anthony Powell
1980,53,Costume Design,,When Time Ran Out ,Paul Zastupnevich
1980,53,Directing,,The Elephant Man ,David Lynch
1980,53,Directing,1,Ordinary People ,Robert Redford
1980,53,Directing,,Raging Bull ,Martin Scorsese
1980,53,Directing,,The Stunt Man ,Richard Rush
